AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.20244871,-0.004917115,-0.0013539206,0.2022564,0.06506702,0.19058226,0.12182429,0.09074537,0.133347,2024-10-17
0.20200871,-0.0068695173,-0.0037724925,0.20214142,0.06753138,0.18999457,0.12318825,0.090607926,0.13516977,2024-10-18
0.20168129,-0.008066255,-0.004440213,0.20189644,0.068833485,0.18981308,0.12346892,0.09038282,0.13643044,2024-10-21
0.20262359,-0.0027973424,0.0030392564,0.20182545,0.060405876,0.19190171,0.11967593,0.09055042,0.13277508,2024-10-22
0.20304923,-0.006333859,-0.0013614564,0.20281135,0.06449706,0.1916904,0.12078911,0.089186706,0.13567153,2024-10-23
0.20222208,-0.006497758,-0.0042000106,0.20229968,0.067366324,0.18991905,0.12304472,0.09135515,0.13449077,2024-10-24
0.2000819,0.0017848318,-0.0011139232,0.19947684,0.062006585,0.18815759,0.12357366,0.09771628,0.12831627,2024-10-25
0.20004529,0.004921896,0.0012108271,0.19902647,0.058731172,0.18861276,0.12235552,0.098845296,0.12625076,2024-10-28
0.20212647,2.018696e-05,0.0007834456,0.20126602,0.059766315,0.19094129,0.12074901,0.09425294,0.13009427,2024-10-29
0.19932728,0.019706767,0.023980517,0.19570889,0.0445409,0.19075447,0.11309983,0.097499914,0.11538148,2024-10-30
0.19970514,0.020698795,0.027264293,0.19572307,0.042421926,0.19165888,0.111830354,0.09625598,0.114441566,2024-10-31
0.2008602,0.016827168,0.023372952,0.19749872,0.045660898,0.1918175,0.11267827,0.09414652,0.11713776,2024-11-01
0.1986854,0.01962724,0.020784382,0.19561823,0.046970267,0.18931346,0.11601964,0.098493636,0.11448775,2024-11-04
0.20210028,0.008249731,0.01285297,0.19993322,0.05062575,0.19233628,0.11630832,0.093704596,0.12388889,2024-11-05
0.20130122,0.0070757945,0.009150614,0.19951026,0.05263341,0.19122508,0.11876358,0.096072435,0.12426758,2024-11-06
0.19817004,0.014065016,0.011174241,0.19604264,0.050103147,0.18853436,0.12031442,0.10238422,0.11921189,2024-11-07
0.19680473,0.017709052,0.015014511,0.19438867,0.047786772,0.18764183,0.11995263,0.10376,0.11694184,2024-11-08
0.19648336,0.016304472,0.010170211,0.19442591,0.049934987,0.18669887,0.12249073,0.1062319,0.11725957,2024-11-11
0.19717935,0.016200388,0.006795468,0.19519898,0.051106084,0.18641794,0.12336691,0.107522525,0.11621232,2024-11-12
0.19914152,0.013517049,0.00894229,0.19691364,0.04949915,0.18873149,0.12112503,0.104573786,0.11755593,2024-11-13
0.19878498,0.011306155,0.0068690237,0.19689408,0.05174976,0.18822892,0.12260587,0.10473905,0.1188222,2024-11-14
0.20170838,0.008456892,0.008996167,0.1994741,0.049710985,0.19146821,0.11855264,0.09974218,0.121890455,2024-11-15
0.199062,0.0051113577,0.00018378488,0.19805653,0.05884081,0.18719512,0.12605992,0.10306901,0.12242139,2024-11-18
0.20073047,0.0033750702,0.0034267635,0.1992868,0.055796295,0.19034176,0.120901614,0.099157535,0.12698372,2024-11-19
0.19869946,0.007916537,0.0047374717,0.19711854,0.054226585,0.18831529,0.12305358,0.10304128,0.12289122,2024-11-20
0.20067574,0.0023463059,0.0012961776,0.1994696,0.05713577,0.18983741,0.12262852,0.0993595,0.12725101,2024-11-21
0.20026895,-0.005122396,-0.0047727544,0.20009884,0.0656782,0.18884352,0.12476443,0.09629349,0.13394769,2024-11-22
0.20040005,0.00088243885,0.0015898494,0.1993332,0.058340784,0.18987599,0.12217714,0.098119065,0.12928155,2024-11-25
0.19902441,-0.00040423826,-0.00046060618,0.19822223,0.060989097,0.18847379,0.124361284,0.09898989,0.13080409,2024-11-26
0.19929288,0.00085085083,2.1077954e-05,0.19832554,0.059862856,0.1888931,0.12366172,0.09974178,0.12935016,2024-11-27
0.1995499,-0.00049103185,-0.0023188628,0.19891958,0.06226654,0.1881308,0.12548456,0.09978764,0.12867093,2024-11-29
0.1993646,0.0017665679,3.979924e-05,0.1983868,0.059489813,0.18846996,0.12463794,0.1008446,0.12699991,2024-12-02
0.1993247,0.0019219728,0.00048386602,0.19829741,0.059023358,0.18865272,0.124252014,0.100623734,0.1274202,2024-12-03
0.19911659,0.0032407348,0.0012184092,0.19791967,0.057316028,0.18852074,0.12441448,0.10210142,0.12615192,2024-12-04
0.19773962,0.013548907,0.010993719,0.19550726,0.049890276,0.18777062,0.121187285,0.104491234,0.11887116,2024-12-05
0.19799377,0.01271936,0.00860182,0.1958744,0.050763197,0.18768501,0.12196721,0.10520637,0.119188845,2024-12-06
0.19684792,0.014051142,0.0057764724,0.1949502,0.05194228,0.18598086,0.12485405,0.10889284,0.11670428,2024-12-09
0.19692886,0.01132742,0.0068111084,0.19513716,0.05278764,0.18657228,0.1246494,0.107093014,0.11869315,2024-12-10
0.19522597,0.022971543,0.01905912,0.19229686,0.04415662,0.18601342,0.12055025,0.10784067,0.11188553,2024-12-11
0.19625935,0.019957371,0.01404011,0.19355544,0.04563754,0.18659191,0.12145641,0.108825065,0.11367686,2024-12-12
0.19696201,0.02020535,0.015022686,0.19407275,0.044888716,0.18714501,0.12061625,0.10799343,0.11309378,2024-12-13
