,date,rf_daily
269,2022-01-14,5.158716852527495e-06
270,2022-01-17,
271,2022-01-18,6.3491861930810334e-06
272,2022-01-19,6.746008991661922e-06
273,2022-01-20,6.746008991661922e-06
274,2022-01-21,6.746008991661922e-06
275,2022-01-24,7.539654116419008e-06
276,2022-01-25,7.539654116419008e-06
277,2022-01-26,7.539654116419008e-06
278,2022-01-27,7.936476442595457e-06
279,2022-01-28,7.539654116419008e-06
280,2022-01-31,8.730120622544794e-06
281,2022-02-01,7.539654116419008e-06
282,2022-02-02,7.539654116419008e-06
283,2022-02-03,7.936476442595457e-06
284,2022-02-04,9.12694247631793e-06
285,2022-02-07,1.0714228316736512e-05
286,2022-02-08,9.920585711461763e-06
287,2022-02-09,1.031740709283271e-05
288,2022-02-10,1.5872889898032488e-05
289,2022-02-11,1.4285612245869765e-05
290,2022-02-14,1.7063346483767427e-05
291,2022-02-15,1.5872889898032488e-05
292,2022-02-16,1.507925138688242e-05
293,2022-02-17,1.4285612245869765e-05
294,2022-02-18,1.3888792439164657e-05
295,2022-02-21,
296,2022-02-22,1.4682431895108979e-05
297,2022-02-23,1.3491972474993528e-05
298,2022-02-24,1.2698332074252701e-05
299,2022-02-25,1.3095152353356248e-05
300,2022-02-28,1.3888792439164657e-05
301,2022-03-01,1.2698332074252701e-05
302,2022-03-02,1.3491972474993528e-05
303,2022-03-03,1.507925138688242e-05
304,2022-03-04,1.3491972474993528e-05
305,2022-03-07,1.507925138688242e-05
306,2022-03-08,1.4285612245869765e-05
307,2022-03-09,1.507925138688242e-05
308,2022-03-10,1.5476070721190215e-05
309,2022-03-11,1.5872889898032488e-05
310,2022-03-14,1.7856983420265404e-05
311,2022-03-15,1.825380165231717e-05
312,2022-03-16,1.7460165030748865e-05
313,2022-03-17,1.5872889898032488e-05
314,2022-03-18,1.6666527779320965e-05
315,2022-03-21,2.1428341840014525e-05
316,2022-03-22,2.023789045060881e-05
317,2022-03-23,1.9841073005879024e-05
318,2022-03-24,2.0634707737874564e-05
319,2022-03-25,2.1825158654888972e-05
320,2022-03-28,2.3412424339752778e-05
321,2022-03-29,2.1825158654888972e-05
322,2022-03-30,2.1825158654888972e-05
323,2022-03-31,2.0634707737874564e-05
324,2022-04-01,2.1031524867676434e-05
325,2022-04-04,2.6190133225942903e-05
326,2022-04-05,2.5793318143160333e-05
327,2022-04-06,2.6586948151263333e-05
328,2022-04-07,2.6983762919121743e-05
329,2022-04-08,2.777739198245298e-05
330,2022-04-11,3.0555088744076996e-05
331,2022-04-12,2.93646482195767e-05
332,2022-04-13,2.976146188520445e-05
333,2022-04-14,3.134871497310646e-05
334,2022-04-15,
335,2022-04-18,3.2142340572293835e-05
336,2022-04-19,3.2142340572293835e-05
337,2022-04-20,3.2539153135697036e-05
338,2022-04-21,3.2935965541640106e-05
339,2022-04-22,3.2935965541640106e-05
340,2022-04-25,3.61104591206343e-05
341,2022-04-26,3.2935965541640106e-05
342,2022-04-27,3.2539153135697036e-05
343,2022-04-28,3.2539153135697036e-05
344,2022-04-29,3.37295898811463e-05
345,2022-05-02,3.571364797436792e-05
346,2022-05-03,3.61104591206343e-05
347,2022-05-04,3.531683667064239e-05
348,2022-05-05,3.37295898811463e-05
349,2022-05-06,3.37295898811463e-05
350,2022-05-09,3.650727010944165e-05
351,2022-05-10,3.531683667064239e-05
352,2022-05-11,3.61104591206343e-05
353,2022-05-12,3.8094512490083335e-05
354,2022-05-13,4.0872180594062766e-05
355,2022-05-16,4.245941604655417e-05
356,2022-05-17,4.2062607419617166e-05
357,2022-05-18,4.0872180594062766e-05
358,2022-05-19,4.166579863522302e-05
359,2022-05-20,4.0872180594062766e-05
360,2022-05-23,4.245941604655417e-05
361,2022-05-24,4.2062607419617166e-05
362,2022-05-25,4.2062607419617166e-05
363,2022-05-26,4.245941604655417e-05
364,2022-05-27,4.285622451603414e-05
365,2022-05-30,
366,2022-05-31,4.60306866034361e-05
367,2022-06-01,4.563387939360781e-05
368,2022-06-02,4.642749365580848e-05
369,2022-06-03,4.801472029074153e-05
370,2022-06-06,4.9998750041665106e-05
371,2022-06-07,4.9998750041665106e-05
372,2022-06-08,5.079236083985111e-05
373,2022-06-09,5.1585971008219524e-05
374,2022-06-10,5.5157208971911356e-05
375,2022-06-13,6.864843729290247e-05
376,2022-06-14,7.261641098365494e-05
377,2022-06-15,6.904523537049515e-05
378,2022-06-16,6.309324767442655e-05
379,2022-06-17,6.468044785727236e-05
380,2022-06-20,
381,2022-06-21,6.745804211543129e-05
382,2022-06-22,6.388684808075e-05
383,2022-06-23,6.54740470039946e-05
384,2022-06-24,6.864843729290247e-05
385,2022-06-27,7.102922339673128e-05
386,2022-06-28,7.102922339673128e-05
387,2022-06-29,7.06324261063806e-05
388,2022-06-30,6.825163905786103e-05
389,2022-07-01,6.864843729290247e-05
390,2022-07-04,
391,2022-07-05,7.539398319904634e-05
392,2022-07-06,7.539398319904634e-05
393,2022-07-07,7.737795862949524e-05
394,2022-07-08,7.856834199841126e-05
395,2022-07-11,8.650419491218067e-05
396,2022-07-12,8.809135793763116e-05
397,2022-07-13,9.483677269237858e-05
398,2022-07-14,9.523356037862825e-05
399,2022-07-15,9.404319684755755e-05
400,2022-07-18,9.920142858192321e-05
401,2022-07-19,9.999500033330834e-05
402,2022-07-20,9.959821453633529e-05
403,2022-07-21,9.840785620078147e-05
404,2022-07-22,9.880464247007199e-05
405,2022-07-25,0.00010396284964391957
406,2022-07-26,0.00010118535677959453
407,2022-07-27,9.68207095492241e-05
408,2022-07-28,9.602713527880647e-05
409,2022-07-29,9.563034790743751e-05
410,2022-08-01,0.0001015821419468127
411,2022-08-02,0.0001015821419468127
412,2022-08-03,9.999500033330834e-05
413,2022-08-04,9.920142858192321e-05
414,2022-08-05,0.00010237571180893396
415,2022-08-08,0.00010515320136706294
416,2022-08-09,0.00010594676839530523
417,2022-08-10,0.00010515320136706294
418,2022-08-11,0.00010396284964391957
419,2022-08-12,0.00010435963370907151
420,2022-08-15,0.00010793068321076512
421,2022-08-16,0.00010713711775689126
422,2022-08-17,0.00010634355167327078
423,2022-08-18,0.00010753390056254644
